name,Type,Bars,Tidal,g-i
manga-8947-1902,-5,0,0,1.1157000000000004
manga-8481-1901,-5,0,0,-0.1324
manga-9196-6102,-5,0,0,1.1800999999999995
manga-9512-3703,-5,0,0,1.0456000000000003
manga-7964-1901,-5,0,1,0.9351999999999983
manga-8624-6104,-5,0,0,1.1746999999999979
manga-8153-12703,-5,0,0,0.9865999999999993
manga-8725-1902,-5,0,1,0.9255999999999993
manga-8947-3703,-5,0,0,1.1899000000000015
manga-7964-1902,-5,0,0,0.9391999999999996
manga-9042-12705,-5,0,1,1.092100000000002
manga-8481-3702,-5,0,0,1.1890999999999998
manga-9512-6101,-5,0,0,1.1666000000000025
manga-9042-1901,-5,0,0,1.395500000000002
manga-10512-1901,-5,0,0,1.068200000000001
manga-8592-12703,-5,0,0,1.269400000000001
manga-8097-12702,-5,0,0,1.157
manga-8725-3702,-5,0,0,1.1382999999999974
manga-9042-3701,-5,0,0,1.2354999999999983
manga-8947-6101,-5,0,0,1.2583999999999982
manga-8592-12704,-5,0,1,1.015699999999999
manga-8445-1902,-5,0,0,1.1945999999999977
manga-7964-3702,-5,0,0,1.167300000000001
manga-9196-9102,-5,0,0,1.1690000000000005
manga-10217-6101,-5,0,0,1.1541999999999994
manga-10512-3701,-5,0,0,1.009800000000002
manga-8592-12705,-5,0,0,1.2470999999999997
manga-9042-3703,-5,0,0,1.1842000000000006
manga-8725-6101,-5,0,1,1.1043999999999983
manga-8481-6101,-5,0,0,1.1763000000000012
manga-9512-6104,-5,0,0,1.086500000000001
manga-8947-6104,-5,0,0,1.1588999999999992
manga-10217-6104,-5,0,0,1.2020000000000017
manga-8625-12704,-5,0,1,1.2603000000000009
manga-8258-3703,-5,0,0,1.1140000000000008
manga-8725-6103,-5,0,0,1.2149999999999999
manga-10512-3704,-5,0,0,1.220600000000001
manga-8481-6104,-5,0,1,1.1571999999999996
manga-8996-6103,-5,0,1,1.1021
manga-8325-6101,-5,0,0,1.173499999999997
manga-8725-6104,-5,0,1,1.2087000000000003
manga-8325-6102,-5,0,0,1.1356000000000002
manga-8153-6101,-5,0,1,1.1409999999999982
manga-9485-1902,-5,0,0,1.1611000000000011
manga-9042-6104,-5,0,0,1.1262000000000008
manga-8325-6103,-5,0,1,1.112334999999998
manga-8258-6103,-5,0,1,1.134599999999999
manga-8625-3702,-5,0,0,1.119799999999998
manga-8325-6104,-5,0,0,1.1484000000000023
manga-8482-12702,-5,0,0,1.1152999999999977
manga-8153-6104,-5,0,0,1.2539000000000016
manga-8592-6103,-5,0,0,1.0456000000000003
manga-8482-12704,-5,0,1,1.2479000000000013
manga-8726-12704,-5,0,1,1.0183999999999997
manga-9485-3704,-5,0,1,1.2200000000000024
manga-9043-12702,-5,0,0,1.1931000000000012
manga-8097-6103,-5,0,0,1.0379999999999967
manga-9043-12703,-5,0,0,0.9189999999999969
manga-8948-1902,-5,0,0,1.219100000000001
manga-8482-1901,-5,0,1,1.2759999999999998
manga-9863-1902,-5,0,0,0.8618999999999986
manga-8726-1902,-5,0,0,1.1460000000000008
manga-9485-6102,-5,0,0,1.1555
manga-8997-12705,-5,0,0,0.8802000000000021
manga-8592-9102,-5,0,1,0.9624000000000024
manga-8097-9101,-5,0,0,1.3389999999999986
manga-8625-6103,-5,0,1,1.2971000000000004
manga-8154-12702,-5,0,1,1.1393999999999984
manga-8482-3701,-5,0,0,1.1843000000000004
manga-8726-3701,-5,0,0,1.230999999999998
manga-9485-6103,-5,0,0,1.0774000000000008
manga-8726-3702,-5,0,0,1.064
manga-8259-12705,-5,0,0,1.1546999999999983
manga-8131-12702,-5,0,0,1.2378
manga-9485-9101,-5,0,0,1.127600000000001
manga-9043-3701,-5,0,0,1.1134999999999984
manga-10218-6101,-5,0,0,1.0786000000000016
manga-8154-1901,-5,0,1,1.1423000000000023
manga-9043-3702,-5,0,0,1.3021999999999991
manga-8948-6102,-5,0,0,1.1006
manga-8446-3701,-5,0,0,1.2211999999999996
manga-8726-6101,-5,0,0,1.2181000000000033
manga-9043-3703,-5,0,0,1.1976999999999975
manga-8131-12705,-5,0,0,1.108699999999999
manga-9043-3704,-5,0,0,1.2683
manga-8997-6101,-5,0,0,1.2562999999999995
manga-8948-6104,-5,0,0,1.3007999999999988
manga-8326-3703,-5,0,0,1.1037
manga-8154-3702,-5,0,0,1.2273999999999994
manga-10514-3702,-5,0,0,0.9624999999999986
manga-8482-6103,-5,0,0,1.1418
manga-8131-1901,-5,0,0,1.115000000000002
manga-9863-6104,-5,0,0,1.1260000000000012
manga-8593-3701,-5,0,0,1.2307999999999986
manga-8131-1902,-5,0,0,1.0797999999999988
manga-8259-3703,-5,0,0,1.1641999999999975
manga-8948-9102,-5,0,0,1.148699999999998
manga-8593-3702,-5,0,0,1.1552000000000007
manga-8259-3704,-5,0,1,0.9704000000000015
manga-10514-3704,-5,0,0,1.0916000000000032
manga-7968-6103,-5,0,1,1.1366000000000014
manga-8726-9102,-5,0,0,1.1544999999999987
manga-9043-6103,-5,0,0,1.1432000000000002
manga-8997-9101,-5,0,1,1.163999999999998
manga-8949-12702,-5,0,0,1.0454000000000008
manga-8446-6103,-5,0,0,1.1719000000000008
manga-7968-6104,-5,0,0,1.1564999999999976
manga-9864-12701,-5,0,0,1.2033000000000023
manga-8131-3703,-5,0,0,1.2350999999999992
manga-9864-12702,-5,0,0,1.1670000000000016
manga-9486-3701,-5,0,0,0.8875999999999991
manga-9043-9101,-5,0,0,1.157399999999999
manga-8593-6101,-5,0,0,1.2615999999999978
manga-8131-3704,-5,0,0,1.1402999999999999
manga-8326-6104,-5,0,0,1.2200999999999986
manga-9043-9102,-5,0,0,1.1480999999999995
manga-8593-6102,-5,0,0,1.2335999999999991
manga-7968-9102,-5,0,1,1.1827000000000005
manga-8326-9101,-5,0,0,1.2042490000000008
manga-8131-6102,-5,0,0,1.3489000000000004
manga-8949-1901,-5,0,0,1.0953000000000017
manga-8626-6101,-5,0,0,1.200099999999999
manga-8131-6103,-5,0,0,1.1784999999999997
manga-9486-6101,-5,0,1,1.2072000000000003
manga-8593-9101,-5,0,1,1.0907000000000018
manga-10219-1902,-5,0,0,1.1455999999999982
manga-8155-12702,-5,0,0,0.8991000000000007
manga-9864-1902,-5,0,0,1.1483999999999988
manga-9864-3701,-5,0,0,1.2792220000000007
manga-8727-3701,-5,0,0,0.9845000000000006
manga-9486-6103,-5,0,1,1.0928000000000004
manga-9864-3702,-5,0,1,1.1938999999999993
